Id,Label,timeset,type,type2,color,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
曹聚仁(1945),曹聚仁,,author,author,"#B4B4B4",0,1,1,0,5,5,0.066301,4,0.275679,0.296573,0
杨卫玉(1945),杨卫玉,,author,author,"#B4B4B4",0,1,1,0,5,5,0.023266,6,0.236854,0.256419,0
柳宗元(1945),柳宗元,,author,author,"#B4B4B4",0,1,1,0,5,5,0.066301,4,0.275679,0.296573,0
珂田(1945),珂田,,author,author,"#B4B4B4",0,1,1,0,5,5,0.066301,4,0.275679,0.296573,0
翦伯赞(1945),翦伯赞,,author,author,"#B4B4B4",0,3,3,0,7,7,0.080597,4,0.283525,0.309926,2734.986412
《中华论坛》,《中华论坛》,,journal,journal,"#00EB00",38,0,38,59,0,59,0.087168,5,0.291421,0.324775,32718.70295
胡曲园(1945),胡曲园,,author,author,"#B4B4B4",0,1,1,0,5,5,0.066301,4,0.275679,0.296573,0
蒋君章(1945),蒋君章,,author,author,"#B4B4B4",0,1,1,0,5,5,0.060005,6,0.266598,0.291811,0
许师愼(1945),许师愼,,author,author,"#B4B4B4",0,1,1,0,5,5,0.060005,6,0.266598,0.291811,0
郑学稼(1945),郑学稼,,author,author,"#B4B4B4",0,1,1,0,5,5,0.060005,6,0.266598,0.291811,0
郭寿生(1945),郭寿生,,author,author,"#B4B4B4",0,1,1,0,5,5,0.060005,6,0.266598,0.291811,0
陶伯(1945),陶伯,,author,author,"#B4B4B4",0,1,1,0,5,5,0.041521,4,0.267286,0.282336,0
黄义本(1945),黄义本,,author,author,"#B4B4B4",0,1,1,0,5,5,0.060005,6,0.266598,0.291811,0
齐纬(1945),齐纬,,author,author,"#B4B4B4",0,1,1,0,5,5,0.023266,6,0.236854,0.256419,0
龚德柏(1945),龚德柏,,author,author,"#B4B4B4",0,1,1,0,5,5,0.060005,6,0.266598,0.291811,0
严延(1945),严延,,author,author,"#B4B4B4",0,1,1,0,4,4,0.00865,6,0.225708,0.238884,0
伯侨(1945),伯侨,,author,author,"#B4B4B4",0,1,1,0,4,4,0.060005,6,0.266598,0.291811,0
光未然(1945),光未然,,author,author,"#B4B4B4",0,1,1,0,4,4,0.03835,4,0.267977,0.283542,0
克士(1945),克士,,author,author,"#B4B4B4",0,2,2,0,5,5,0.095921,4,0.289062,0.31797,1039.278388
君山(1945),君山,,author,author,"#B4B4B4",0,1,1,0,4,4,0.03835,4,0.267977,0.283542,0
张一凡(1945),张一凡,,author,author,"#B4B4B4",0,3,3,0,7,7,0.134631,4,0.312991,0.351432,10544.351496
张礼千(1945),张礼千,,author,author,"#B4B4B4",0,1,1,0,4,4,0.023266,6,0.236854,0.256419,0
戈尔巴朵夫(1945),戈尔巴朵夫,,author,author,"#B4B4B4",0,1,1,0,4,4,0.03871,6,0.253922,0.275965,0
曾资生(1945),曾资生,,author,author,"#B4B4B4",0,1,1,0,4,4,0.060005,6,0.266598,0.291811,0
李翼民(1945),李翼民,,author,author,"#B4B4B4",0,1,1,0,4,4,0.060005,6,0.266598,0.291811,0
澹庐(1945),澹庐,,author,author,"#B4B4B4",0,1,1,0,4,4,0.023266,6,0.236854,0.256419,0
王立果(1945),王立果,,author,author,"#B4B4B4",0,1,1,0,4,4,0.03835,4,0.267977,0.283542,0
百辞(1945),百辞,,author,author,"#B4B4B4",0,2,2,0,5,5,0.071947,4,0.278495,0.30156,343.477167
章伯钧(1945),章伯钧,,author,author,"#B4B4B4",0,4,4,0,9,9,0.091256,4,0.289385,0.319257,5968.08129
端木蕻良(1945),端木蕻良,,author,author,"#B4B4B4",0,1,1,0,4,4,0.041521,4,0.267286,0.282336,0
米哈伊洛夫(1945),米哈伊洛夫,,author,author,"#B4B4B4",0,1,1,0,4,4,0.03871,6,0.253922,0.275965,0
索非(1945),索非,,author,author,"#B4B4B4",0,2,2,0,5,5,0.095921,4,0.289062,0.31797,1039.278388
罗稷南(1945),罗稷南,,author,author,"#B4B4B4",0,2,2,0,5,5,0.095921,4,0.289062,0.31797,1039.278388
罗西(1945),罗西,,author,author,"#B4B4B4",0,2,2,0,5,5,0.067971,4,0.282906,0.308559,3009.890609
翁逸之(1945),翁逸之,,author,author,"#B4B4B4",0,1,1,0,4,4,0.066301,4,0.275679,0.296573,0
胡钊(1945),胡钊,,author,author,"#B4B4B4",0,2,2,0,5,5,0.061616,4,0.280911,0.305421,2335.243851
茅盾(1945),茅盾,,author,author,"#B4B4B4",0,4,4,0,10,10,0.161514,4,0.321739,0.362693,11515.720558
萧萧(1945),萧萧,,author,author,"#B4B4B4",0,1,1,0,4,4,0.041521,4,0.267286,0.282336,0
许若明(1945),许若明,,author,author,"#B4B4B4",0,1,1,0,4,4,0.066301,4,0.275679,0.296573,0
邵翰齐(1945),邵翰齐,,author,author,"#B4B4B4",0,1,1,0,4,4,0.066301,4,0.275679,0.296573,0
陈正飞(1945),陈正飞,,author,author,"#B4B4B4",0,1,1,0,4,4,0.00865,6,0.225708,0.238884,0
陶大镛(1945),陶大镛,,author,author,"#B4B4B4",0,1,1,0,4,4,0.023266,6,0.236854,0.256419,0
高尔基(1945),高尔基,,author,author,"#B4B4B4",0,1,1,0,4,4,0.03871,6,0.253922,0.275965,0
丁聪(1945),丁聪,,author,author,"#B4B4B4",0,1,1,0,3,3,0.066301,4,0.275679,0.296573,0
丘斌存(1945),丘斌存,,author,author,"#B4B4B4",0,1,1,0,3,3,0.060005,6,0.266598,0.291811,0
严景耀(1945),严景耀,,author,author,"#B4B4B4",0,1,1,0,3,3,0.02962,6,0.245731,0.264656,0
乔木(1945),乔木,,author,author,"#B4B4B4",0,1,1,0,3,3,0.041521,4,0.267286,0.282336,0
于友(1945),于友,,author,author,"#B4B4B4",0,1,1,0,3,3,0.041521,4,0.267286,0.282336,0
勃拉尼克(1945),勃拉尼克,,author,author,"#B4B4B4",0,1,1,0,3,3,0.03871,6,0.253922,0.275965,0
叶靑(1945),叶靑,,author,author,"#B4B4B4",0,1,1,0,3,3,0.060005,6,0.266598,0.291811,0
周新民(1945),周新民,,author,author,"#B4B4B4",0,1,1,0,3,3,0.03835,4,0.267977,0.283542,0
唐言(1945),唐言,,author,author,"#B4B4B4",0,1,1,0,3,3,0.00865,6,0.225708,0.238884,0
子冈(1945),子冈,,author,author,"#B4B4B4",0,1,1,0,3,3,0.03835,4,0.267977,0.283542,0
守仁(1945),守仁,,author,author,"#B4B4B4",0,1,1,0,3,3,0.060005,6,0.266598,0.291811,0
巴斯金(1945),巴斯金,,author,author,"#B4B4B4",0,1,1,0,3,3,0.03871,6,0.253922,0.275965,0
师陀(1945),师陀,,author,author,"#B4B4B4",0,2,2,0,4,4,0.095921,4,0.289062,0.31797,1039.278388
库尔干诺夫(1945),库尔干诺夫,,author,author,"#B4B4B4",0,1,1,0,3,3,0.03871,6,0.253922,0.275965,0
张大任(1945),张大任,,author,author,"#B4B4B4",0,1,1,0,3,3,0.066301,4,0.275679,0.296573,0
愚公(1945),愚公,,author,author,"#B4B4B4",0,1,1,0,3,3,0.030426,4,0.263078,0.274855,0
戚礼朴(1945),戚礼朴,,author,author,"#B4B4B4",0,1,1,0,3,3,0.03871,6,0.253922,0.275965,0
晓歌(1945),晓歌,,author,author,"#B4B4B4",0,1,1,0,3,3,0.066301,4,0.275679,0.296573,0
曾昭抡(1945),曾昭抡,,author,author,"#B4B4B4",0,2,2,0,4,4,0.068776,4,0.281063,0.305663,982.40817
李兆安(1945),李兆安,,author,author,"#B4B4B4",0,1,1,0,3,3,0.02962,6,0.245731,0.264656,0
杨槐(1945),杨槐,,author,author,"#B4B4B4",0,1,1,0,3,3,0.060005,6,0.266598,0.291811,0
查斯拉夫斯基(1945),查斯拉夫斯基,,author,author,"#B4B4B4",0,1,1,0,3,3,0.03871,6,0.253922,0.275965,0
柯马洛夫(1945),柯马洛夫,,author,author,"#B4B4B4",0,1,1,0,3,3,0.03871,6,0.253922,0.275965,0
柳亚子(1945),柳亚子,,author,author,"#B4B4B4",0,6,6,0,10,10,0.244928,4,0.380323,0.423343,59076.832864
楚图南(1945),楚图南,,author,author,"#B4B4B4",0,2,2,0,4,4,0.079871,4,0.285557,0.312661,1112.083605
毅生(1945),毅生,,author,author,"#B4B4B4",0,1,1,0,3,3,0.010659,6,0.213961,0.229826,0
求思(1945),求思,,author,author,"#B4B4B4",0,1,1,0,3,3,0.02962,6,0.245731,0.264656,0
沈志远(1945),沈志远,,author,author,"#B4B4B4",0,3,3,0,6,6,0.135077,4,0.31018,0.347812,5559.413747
洪深(1945),洪深,,author,author,"#B4B4B4",0,1,1,0,3,3,0.041521,4,0.267286,0.282336,0
源天(1945),源天,,author,author,"#B4B4B4",0,1,1,0,3,3,0.041521,4,0.267286,0.282336,0
潮声(1945),潮声,,author,author,"#B4B4B4",0,1,1,0,3,3,0.023266,6,0.236854,0.256419,0
爱伦堡(1945),爱伦堡,,author,author,"#B4B4B4",0,1,1,0,3,3,0.03871,6,0.253922,0.275965,0
王少燕(1945),王少燕,,author,author,"#B4B4B4",0,1,1,0,3,3,0.030426,4,0.263078,0.274855,0
祝世康(1945),祝世康,,author,author,"#B4B4B4",0,2,2,0,4,4,0.031917,6,0.25669,0.276416,2176.367651
秋斯(1945),秋斯,,author,author,"#B4B4B4",0,1,1,0,3,3,0.02962,6,0.245731,0.264656,0
粟显运(1945),粟显运,,author,author,"#B4B4B4",0,1,1,0,3,3,0.060005,6,0.266598,0.291811,0
绀弩(1945),绀弩,,author,author,"#B4B4B4",0,2,2,0,4,4,0.071142,4,0.282135,0.307352,2886.150002
罗加正(1945),罗加正,,author,author,"#B4B4B4",0,1,1,0,3,3,0.010659,6,0.213961,0.229826,0
罗曼(1945),罗曼,,author,author,"#B4B4B4",0,1,1,0,3,3,0.03871,6,0.253922,0.275965,0
罗涵先(1945),罗涵先,,author,author,"#B4B4B4",0,1,1,0,3,3,0.030426,4,0.263078,0.274855,0
肥遯(1945),肥遯,,author,author,"#B4B4B4",0,1,1,0,3,3,0.030426,4,0.263078,0.274855,0
胡毅(1945),胡毅,,author,author,"#B4B4B4",0,1,1,0,3,3,0.03835,4,0.267977,0.283542,0
若愚(1945),若愚,,author,author,"#B4B4B4",0,1,1,0,3,3,0.030426,4,0.263078,0.274855,0
范华农(1945),范华农,,author,author,"#B4B4B4",0,1,1,0,3,3,0.030426,4,0.263078,0.274855,0
荒烟(1945),荒烟,,author,author,"#B4B4B4",0,1,1,0,3,3,0.041521,4,0.267286,0.282336,0
莫斯(1945),莫斯,,author,author,"#B4B4B4",0,1,1,0,3,3,0.03871,6,0.253922,0.275965,0
葛洛斯曼(1945),葛洛斯曼,,author,author,"#B4B4B4",0,1,1,0,3,3,0.03871,6,0.253922,0.275965,0
西蒙诺夫(1945),西蒙诺夫,,author,author,"#B4B4B4",0,1,1,0,3,3,0.03871,6,0.253922,0.275965,0
迈之(1945),迈之,,author,author,"#B4B4B4",0,1,1,0,3,3,0.03835,4,0.267977,0.283542,0
郭绍虞(1945),郭绍虞,,author,author,"#B4B4B4",0,2,2,0,4,4,0.095921,4,0.289062,0.31797,1039.278388
问梁(1945),问梁,,author,author,"#B4B4B4",0,1,1,0,3,3,0.023266,6,0.236854,0.256419,0
静远(1945),静远,,author,author,"#B4B4B4",0,1,1,0,3,3,0.066301,4,0.275679,0.296573,0
顾均正(1945),顾均正,,author,author,"#B4B4B4",0,1,1,0,3,3,0.066301,4,0.275679,0.296573,0
马丁(1945),马丁,,author,author,"#B4B4B4",0,1,1,0,3,3,0.066301,4,0.275679,0.296573,0
高克奇(1945),高克奇,,author,author,"#B4B4B4",0,1,1,0,3,3,0.030426,4,0.263078,0.274855,0
黄巨兴(1945),黄巨兴,,author,author,"#B4B4B4",0,1,1,0,3,3,0.03835,4,0.267977,0.283542,0
黄洛(1945),黄洛,,author,author,"#B4B4B4",0,1,1,0,3,3,0.060005,6,0.266598,0.291811,0
黄茅(1945),黄茅,,author,author,"#B4B4B4",0,1,1,0,3,3,0.041521,4,0.267286,0.282336,0
黄裳(1945),黄裳,,author,author,"#B4B4B4",0,1,1,0,3,3,0.066301,4,0.275679,0.296573,0
一民(1945),一民,,author,author,"#B4B4B4",0,1,1,0,2,2,0.066301,4,0.275679,0.296573,0
上官青(1945),上官青,,author,author,"#B4B4B4",0,1,1,0,2,2,0.060005,6,0.266598,0.291811,0
严景曜(1945),严景曜,,author,author,"#B4B4B4",0,1,1,0,2,2,0.02962,6,0.245731,0.264656,0
于彦胜(1945),于彦胜,,author,author,"#B4B4B4",0,1,1,0,2,2,0.060005,6,0.266598,0.291811,0
亚槐(1945),亚槐,,author,author,"#B4B4B4",0,1,1,0,2,2,0.02962,6,0.245731,0.264656,0
伊巴鲁里(1945),伊巴鲁里,,author,author,"#B4B4B4",0,1,1,0,2,2,0.03871,6,0.253922,0.275965,0
元璧(1945),元璧,,author,author,"#B4B4B4",0,1,1,0,2,2,0.060005,6,0.266598,0.291811,0
光年(1945),光年,,author,author,"#B4B4B4",0,1,1,0,2,2,0.03835,4,0.267977,0.283542,0
克年席夫(1945),克年席夫,,author,author,"#B4B4B4",0,1,1,0,2,2,0.060005,6,0.266598,0.291811,0
其良(1945),其良,,author,author,"#B4B4B4",0,1,1,0,2,2,0.03835,4,0.267977,0.283542,0
农慕之(1945),农慕之,,author,author,"#B4B4B4",0,2,2,0,3,3,0.079871,4,0.285557,0.312661,1112.083605
冬予里(1945),冬予里,,author,author,"#B4B4B4",0,1,1,0,2,2,0.03835,4,0.267977,0.283542,0
冯玉祥(1945),冯玉祥,,author,author,"#B4B4B4",0,3,3,0,4,4,0.156732,4,0.322741,0.363497,26515.65862
凤子(1945),凤子,,author,author,"#B4B4B4",0,1,1,0,2,2,0.066301,4,0.275679,0.296573,0
刘逸(1945),刘逸,,author,author,"#B4B4B4",0,1,1,0,2,2,0.010659,6,0.213961,0.229826,0
刘铁华(1945),刘铁华,,author,author,"#B4B4B4",0,2,2,0,4,4,0.095921,4,0.289062,0.31797,1039.278388
力扬(1945),力扬,,author,author,"#B4B4B4",0,2,2,0,3,3,0.096726,4,0.28874,0.317487,876.09274
千里(1945),千里,,author,author,"#B4B4B4",0,1,1,0,2,2,0.023266,6,0.236854,0.256419,0
华心(1945),华心,,author,author,"#B4B4B4",0,1,1,0,2,2,0.03835,4,0.267977,0.283542,0
华阳(1945),华阳,,author,author,"#B4B4B4",0,1,1,0,2,2,0.03835,4,0.267977,0.283542,0
卢蕻(1945),卢蕻,,author,author,"#B4B4B4",0,1,1,0,2,2,0.03835,4,0.267977,0.283542,0
史米尔诺夫(1945),史米尔诺夫,,author,author,"#B4B4B4",0,1,1,0,2,2,0.03871,6,0.253922,0.275965,0
史迁宾(1945),史迁宾,,author,author,"#B4B4B4",0,1,1,0,2,2,0.03871,6,0.253922,0.275965,0
叶圣陶(1945),叶圣陶,,author,author,"#B4B4B4",0,4,4,0,5,5,0.167868,4,0.321939,0.362934,8993.404108
吴斐丹(1945),吴斐丹,,author,author,"#B4B4B4",0,1,1,0,2,2,0.023266,6,0.236854,0.256419,0
吴清友(1945),吴清友,,author,author,"#B4B4B4",0,2,2,0,3,3,0.053692,4,0.275385,0.296493,1363.736361
吴约翰(1945),吴约翰,,author,author,"#B4B4B4",0,1,1,0,2,2,0.060005,6,0.266598,0.291811,0
吴铁城(1945),吴铁城,,author,author,"#B4B4B4",0,1,1,0,2,2,0.060005,6,0.266598,0.291811,0
周予同(1945),周予同,,author,author,"#B4B4B4",0,1,1,0,2,2,0.066301,4,0.275679,0.296573,0
周伯棣(1945),周伯棣,,author,author,"#B4B4B4",0,1,1,0,2,2,0.023266,6,0.236854,0.256419,0
周敦礼(1945),周敦礼,,author,author,"#B4B4B4",0,1,1,0,2,2,0.060005,6,0.266598,0.291811,0
周谷城(1945),周谷城,,author,author,"#B4B4B4",0,1,1,0,2,2,0.00865,6,0.225708,0.238884,0
嘉喜善(1945),嘉喜善,,author,author,"#B4B4B4",0,1,1,0,2,2,0.03871,6,0.253922,0.275965,0
夏衍(1945),夏衍,,author,author,"#B4B4B4",0,2,2,0,3,3,0.107822,4,0.293484,0.324485,1043.360168
外卢(1945),外卢,,author,author,"#B4B4B4",0,1,1,0,2,2,0.00865,6,0.225708,0.238884,0
夷初(1945),夷初,,author,author,"#B4B4B4",0,1,1,0,2,2,0.066301,4,0.275679,0.296573,0
奥勃拉齐卓夫(1945),奥勃拉齐卓夫,,author,author,"#B4B4B4",0,1,1,0,2,2,0.03871,6,0.253922,0.275965,0
奴齐(1945),奴齐,,author,author,"#B4B4B4",0,1,1,0,2,2,0.02962,6,0.245731,0.264656,0
娄立齐(1945),娄立齐,,author,author,"#B4B4B4",0,1,1,0,2,2,0.02962,6,0.245731,0.264656,0
子叶(1945),子叶,,author,author,"#B4B4B4",0,1,1,0,2,2,0.03871,6,0.253922,0.275965,0
子敬(1945),子敬,,author,author,"#B4B4B4",0,1,1,0,2,2,0.010659,6,0.213961,0.229826,0
孙科(1945),孙科,,author,author,"#B4B4B4",0,2,2,0,4,4,0.098715,6,0.292325,0.328539,13502.05975
孟心坚(1945),孟心坚,,author,author,"#B4B4B4",0,1,1,0,2,2,0.03835,4,0.267977,0.283542,0
宁墨公(1945),宁墨公,,author,author,"#B4B4B4",0,1,1,0,2,2,0.060005,6,0.266598,0.291811,0
宋孟桃(1945),宋孟桃,,author,author,"#B4B4B4",0,1,1,0,2,2,0.060005,6,0.266598,0.291811,0
宾符(1945),宾符,,author,author,"#B4B4B4",0,1,1,0,2,2,0.02962,6,0.245731,0.264656,0
尚丁(1945),尚丁,,author,author,"#B4B4B4",0,1,1,0,2,2,0.023266,6,0.236854,0.256419,0
居正(1945),居正,,author,author,"#B4B4B4",0,1,1,0,2,2,0.060005,6,0.266598,0.291811,0
屠西(1945),屠西,,author,author,"#B4B4B4",0,2,2,0,3,3,0.096726,4,0.28874,0.317487,876.09274
巴金(1945),巴金,,author,author,"#B4B4B4",0,1,1,0,2,2,0.066301,4,0.275679,0.296573,0
张勉(1945),张勉,,author,author,"#B4B4B4",0,1,1,0,2,2,0.060005,6,0.266598,0.291811,0
张子毅(1945),张子毅,,author,author,"#B4B4B4",0,1,1,0,2,2,0.03835,4,0.267977,0.283542,0
张澜(1945),张澜,,author,author,"#B4B4B4",0,1,1,0,2,2,0.066301,4,0.275679,0.296573,0
张申府(1945),张申府,,author,author,"#B4B4B4",0,4,4,0,6,6,0.105872,4,0.298215,0.332046,8097.882689
张若达(1945),张若达,,author,author,"#B4B4B4",0,2,2,0,3,3,0.107822,4,0.293484,0.324485,1043.360168
徐植(1945),徐植,,author,author,"#B4B4B4",0,1,1,0,2,2,0.03835,4,0.267977,0.283542,0
拾风(1945),拾风,,author,author,"#B4B4B4",0,1,1,0,2,2,0.066301,4,0.275679,0.296573,0
施坦因(1945),施坦因,,author,author,"#B4B4B4",0,1,1,0,2,2,0.03871,6,0.253922,0.275965,0
曹刚(1945),曹刚,,author,author,"#B4B4B4",0,2,2,0,3,3,0.104651,4,0.296169,0.328346,3700.912836
曹萝阳(1945),曹萝阳,,author,author,"#B4B4B4",0,1,1,0,2,2,0.03835,4,0.267977,0.283542,0
李公樸(1945),李公樸,,author,author,"#B4B4B4",0,2,2,0,4,4,0.071947,4,0.278495,0.30156,343.477167
李凌飞(1945),李凌飞,,author,author,"#B4B4B4",0,1,1,0,2,2,0.023266,6,0.236854,0.256419,0
李及(1945),李及,,author,author,"#B4B4B4",0,1,1,0,2,2,0.030426,4,0.263078,0.274855,0
李战林(1945),李战林,,author,author,"#B4B4B4",0,1,1,0,2,2,0.010659,6,0.213961,0.229826,0
李玄伯(1945),李玄伯,,author,author,"#B4B4B4",0,2,2,0,3,3,0.095921,4,0.289062,0.31797,1039.278388
李鼎芳(1945),李鼎芳,,author,author,"#B4B4B4",0,1,1,0,2,2,0.060005,6,0.266598,0.291811,0
杨保民(1945),杨保民,,author,author,"#B4B4B4",0,1,1,0,2,2,0.060005,6,0.266598,0.291811,0
杨先义(1945),杨先义,,author,author,"#B4B4B4",0,1,1,0,2,2,0.060005,6,0.266598,0.291811,0
杨刚(1945),杨刚,,author,author,"#B4B4B4",0,1,1,0,2,2,0.066301,4,0.275679,0.296573,0
林植(1945),林植,,author,author,"#B4B4B4",0,1,1,0,2,2,0.060005,6,0.266598,0.291811,0
柏寒(1945),柏寒,,author,author,"#B4B4B4",0,1,1,0,2,2,0.03835,4,0.267977,0.283542,0
柳诒(1945),柳诒,,author,author,"#B4B4B4",0,1,1,0,2,2,0.010659,6,0.213961,0.229826,0
梁漱溟(1945),梁漱溟,,author,author,"#B4B4B4",0,1,1,0,2,2,0.030426,4,0.263078,0.274855,0
毕尔伏玛依斯基(1945),毕尔伏玛依斯基,,author,author,"#B4B4B4",0,1,1,0,2,2,0.03871,6,0.253922,0.275965,0
